Date,Close,High,Low,Open,Volume,Date_final
2020-01-02,182.8092498779297,182.82838427588055,180.51361836298068,180.78144155321576,8733000,2020-01-02
2020-01-03,181.3553924560547,182.65625446286347,179.74843840280988,180.21713637568797,4899700,2020-01-03
2020-01-06,180.96324157714844,180.98237598141512,179.02151550939288,179.82498534530401,10109500,2020-01-06
2020-01-07,180.4849395751953,181.83363013889192,180.39885666992203,181.34579781846904,4392300,2020-01-07
2020-01-08,183.57447814941406,184.12925896682447,180.5901540511915,181.25015217182232,5712000,2020-01-08
2020-01-09,184.8466033935547,185.4874669682478,184.1483512293767,184.60747454052293,6748000,2020-01-09
2020-01-10,185.34402465820312,186.1092400273639,184.71272088400028,185.08576136961665,6586400,2020-01-10
2020-01-13,186.83619689941406,187.0944602022365,185.83185258423362,185.98489858555578,11290500,2020-01-13
2020-01-14,187.52487182617188,188.38572996162426,186.65443919448578,188.18486987447739,6236500,2020-01-14
2020-01-15,191.11181640625,191.44658810314496,187.78314626401936,188.4335698547429,10831100,2020-01-15
2020-01-16,192.21182250976562,192.73790905154112,191.09270091831823,192.25965121270357,9983700,2020-01-16
2020-01-17,195.79876708984375,195.84659579541713,191.28401167482582,192.98660850728146,12518900,2020-01-17
2020-01-21,198.27613830566406,199.3283114417627,194.9379077648334,195.25355970566298,14861700,2020-01-21
2020-01-22,198.85960388183594,200.99264435520004,198.27612873367124,198.486563350732,8065000,2020-01-22
2020-01-23,197.5395965576172,199.3378358767107,196.37264641258648,198.85957809908396,8520800,2020-01-23
2020-01-24,196.08570861816406,198.94569567133126,195.33006767516432,198.4004747440777,7812900,2020-01-24
2020-01-27,192.91964721679688,194.4883323269012,190.44227514207637,191.30313340428734,7198900,2020-01-27
2020-01-28,194.02915954589844,194.97610047444053,193.00568103675718,193.5891560290557,7215700,2020-01-28
2020-01-29,195.95179748535156,196.9657017434678,193.70397986007833,195.4161510542917,7041700,2020-01-29
2020-01-30,199.15614318847656,199.43352632355388,194.47878193189328,195.12920561153473,8571900,2020-01-30
2020-01-31,190.3179168701172,195.11005494229875,189.63878434803857,192.72834035454272,16699600,2020-01-31
2020-02-03,192.0779266357422,193.46487156295004,191.15967968329335,191.2457625984719,10885900,2020-02-03
2020-02-04,194.7082977294922,196.00915942593824,193.43613033114457,194.6509091332954,10205900,2020-02-04
2020-02-05,193.99090576171875,196.65959217376783,191.2552708543672,196.5639347858864,8672400,2020-02-05
2020-02-06,194.2109375,195.73180852560068,193.67529105374084,194.220511997786,7001200,2020-02-06
2020-02-07,193.92401123046875,194.966609910271,192.34575146284527,193.19704990891893,5691100,2020-02-07
2020-02-10,197.0326690673828,197.16658067801748,193.0822546607534,193.1874719687714,6239500,2020-02-10
2020-02-11,195.07180786132812,198.6396072198435,194.78485024158834,198.47700130755416,10231900,2020-02-11
2020-02-12,198.41958618164062,199.09870404247314,196.08568592610638,196.08568592610638,7355800,2020-02-12
2020-02-13,198.6686553955078,199.6936164496146,197.37549785543607,197.92149380797957,9495300,2020-02-13
2020-02-14,201.43702697753906,201.90640380428766,199.25301351861492,199.52122467206794,6548800,2020-02-14
2020-02-18,202.3086395263672,202.5960126804007,200.54610561902354,201.15916152663897,7651500,2020-02-18
2020-02-19,204.32981872558594,205.15361400395193,202.80675995096712,203.57308351955976,5927500,2020-02-19
2020-02-20,202.54812622070312,204.69382932740746,199.5115823639534,203.19950638126252,8531900,2020-02-20
2020-02-21,200.01930236816406,201.36994626514766,198.6878205834778,201.06341093402696,9231500,2020-02-21
2020-02-24,190.4210968017578,195.19145338975994,185.84233207010132,189.55899191382832,13316800,2020-02-24
2020-02-25,180.468505859375,191.4747913734109,179.81714032769145,190.42109464109186,18539000,2020-02-25
2020-02-26,179.3286590576172,185.36342388041422,179.1562292709148,182.00119651202073,14214700,2020-02-26
2020-02-27,172.43173217773438,178.4952465031878,172.42215843083935,174.45290361955216,17536600,2020-02-27
2020-02-28,174.10809326171875,174.6541038876225,165.69772303447877,166.47362056273326,22659000,2020-02-28
2020-03-02,184.2331085205078,184.33847821941742,175.39168602621987,178.47612854003563,17434500,2020-03-02
