Date,Close,High,Low,Open,Volume,Date_final
2020-01-02,5.9707536697387695,5.9707536697387695,5.891363041927383,5.941884393688347,237536000,2020-01-02
2020-01-03,5.875186443328857,5.918988548422026,5.826157991152776,5.851045561653233,205384000,2020-01-03
2020-01-06,5.899824619293213,5.905050966215078,5.75572649719555,5.781858231804876,262636000,2020-01-06
2020-01-07,5.971251010894775,6.017043961993896,5.883149339496765,5.928195601897144,314856000,2020-01-07
2020-01-08,5.982450485229492,6.023763779470867,5.926951529563478,5.967020184390604,277108000,2020-01-08
2020-01-09,6.048155307769775,6.120577964594168,5.994398450534082,6.068811961421722,255112000,2020-01-09
2020-01-10,6.080507278442383,6.185781374034128,6.066321616134521,6.155418721169793,316296000,2020-01-10
2020-01-13,6.27114725112915,6.296283564365258,6.140985551163511,6.163633534107025,319840000,2020-01-13
2020-01-14,6.154175281524658,6.2537250915044345,6.140984569750498,6.228339569543208,359088000,2020-01-14
2020-01-15,6.111616611480713,6.189265596413675,6.085733616503059,6.166866832502594,263104000,2020-01-15
2020-01-16,6.195239543914795,6.201212580149905,6.141731430548025,6.165125624680976,284192000,2020-01-16
2020-01-17,6.20395040512085,6.221869514641433,6.156415325826517,6.2144031003351135,253792000,2020-01-17
2020-01-21,6.170602321624756,6.204200478628014,6.136506213722271,6.167366827507373,217916000,2020-01-21
2020-01-22,6.224606990814209,6.311215307199664,6.196981875274955,6.215896411562279,239240000,2020-01-22
2020-01-23,6.293046951293945,6.301508791795194,6.175827247965222,6.264675623846474,244516000,2020-01-23
2020-01-24,6.2338151931762695,6.4583003373897805,6.179560391908617,6.408525194546055,373512000,2020-01-24
2020-01-27,5.977972507476807,6.028991819907899,5.779619081655654,5.929192787115326,470536000,2020-01-27
2020-01-28,6.171347618103027,6.203701127903374,5.990664110182417,6.043923483285389,310976000,2020-01-28
2020-01-29,6.110871315002441,6.19299997011159,6.071050915088323,6.1569130145371735,258848000,2020-01-29
2020-01-30,6.11759090423584,6.131030355221164,5.958062456449191,6.013063476063364,290504000,2020-01-30
2020-01-31,5.8841471672058105,6.083744780347255,5.842336380542271,6.071798705674518,370420000,2020-01-31
2020-02-03,5.981206893920898,6.0006189034883555,5.859755803690975,5.86597757728614,255564000,2020-02-03
2020-02-04,6.150441646575928,6.169605393823703,6.073041867526822,6.123065746362249,271544000,2020-02-04
2020-02-05,6.240783214569092,6.281598562985633,6.157409927409583,6.27139460720877,208220000,2020-02-05
2020-02-06,6.327640533447266,6.327640533447266,6.193995099773727,6.27512832406216,218284000,2020-02-06
2020-02-07,6.261441707611084,6.309723483547889,6.236056179713211,6.287573449837381,189752000,2020-02-07
2020-02-10,6.5446600914001465,6.545406305582232,6.279110375824013,6.284087985183651,529608000,2020-02-10
2020-02-11,6.667106628417969,6.78183801655105,6.590951003561365,6.652920962882322,638556000,2020-02-11
2020-02-12,6.782832622528076,6.789303609316135,6.6810427471678455,6.719867243823403,374644000,2020-02-12
