Date,Close,High,Low,Open,Volume,Date_final
2020-02-10,80.94087982177734,81.14220056792855,79.50286822289283,79.60832299193945,2066900,2020-02-10
2020-02-11,81.57357025146484,82.12960294799522,81.33390174235028,81.51605214979014,1543200,2020-02-11
2020-02-12,81.8995361328125,82.50349823787586,81.7653223316873,81.87077707744334,1464200,2020-02-12
2020-02-13,81.93789672851562,82.13921746153132,81.16137285629732,81.58318459085672,1596300,2020-02-13
2020-02-14,82.27342224121094,82.31177008815709,81.60235320491307,82.17755628089752,1965400,2020-02-14
2020-02-18,81.28596496582031,82.52265523699862,81.03670769127771,82.12001393403872,2872500,2020-02-18
2020-02-19,81.82284545898438,82.29259379172281,80.00136292819134,81.1997057360678,4741300,2020-02-19
2020-02-20,80.85458374023438,81.47772347330839,79.91508705944331,81.39144630050488,2543600,2020-02-20
2020-02-21,81.5544204711914,81.57359073853007,79.95343618360627,80.4327733222201,1762500,2020-02-21
2020-02-24,77.17327880859375,79.17690452403441,76.71311194034907,78.82219972482287,2919200,2020-02-24
2020-02-25,74.7286605834961,77.53757664362634,74.47941052556708,77.36501497284989,2768000,2020-02-25
2020-02-26,74.88200378417969,76.95273518645458,74.86282621415774,75.40927724828437,2526000,2020-02-26
2020-02-27,74.23014068603516,76.98153816515735,73.21394841442014,73.5111350642464,2879400,2020-02-27
2020-02-28,73.88501739501953,73.88501739501953,71.10486086156186,71.87180311703412,3755600,2020-02-28
2020-03-02,78.58250427246094,78.61126332049264,74.04797330418386,74.11508018762508,3407500,2020-03-02
2020-03-03,77.00071716308594,81.48731304445045,76.0036950434378,78.50583547616633,3017200,2020-03-03
2020-03-04,80.86417388916016,80.94086958678773,77.38418889298232,78.39079249645312,1905300,2020-03-04
2020-03-05,77.13492584228516,79.80962775836609,76.40633139678225,78.74549880312624,2322600,2020-03-05
2020-03-06,75.31343078613281,75.63938376542157,73.33856458997441,74.72863903237867,2959900,2020-03-06
2020-03-09,67.8261947631836,71.12403611409027,67.27016201186036,69.59015165332231,4598200,2020-03-09
2020-03-10,69.8969497680664,70.57760767301929,66.78125815736537,70.0311635907836,3537300,2020-03-10
2020-03-11,65.99512481689453,68.7656998327224,64.77761186752105,67.83578473919692,4985900,2020-03-11
2020-03-12,60.79911422729492,64.36538331706534,59.59118637978816,61.35514700238891,5055000,2020-03-12
2020-03-13,66.34025573730469,66.63744973091737,61.11548395611025,63.780597223469066,3261200,2020-03-13
2020-03-16,61.47977066040039,63.86687456215059,58.603751864926984,60.78952775858951,4742800,2020-03-16
2020-03-17,67.52901458740234,67.61529175667536,61.297628482809536,63.29166896435561,3341800,2020-03-17
2020-03-18,66.02388000488281,66.99213546394385,62.48637065838838,62.49595944619057,4123900,2020-03-18
2020-03-19,63.04241180419922,65.75545398894484,61.51811615913148,65.70752467169176,3430700,2020-03-19
2020-03-20,63.71348190307617,68.06586333786589,62.27547070579732,63.26290389100562,3258400,2020-03-20
2020-03-23,60.75117492675781,64.76801797243438,59.52407328469079,64.03943094377128,2989600,2020-03-23
2020-03-24,64.23116302490234,65.36239872596474,61.93034378208529,62.82191096439804,2868900,2020-03-24
2020-03-25,66.14851379394531,68.82321544678416,62.419272079675764,64.34620909466562,2628100,2020-03-25
2020-03-26,70.67346954345703,71.37329767643048,66.77166549148885,67.10720002881203,3267500,2020-03-26
2020-03-27,67.97958374023438,70.18452977523575,67.37561437799906,68.59313457728719,1829800,2020-03-27
2020-03-30,69.8441390991211,70.33430919739078,68.29674527206141,68.29674527206141,1486200,2020-03-30
2020-03-31,68.83499908447266,69.9691140916147,67.75854858071642,69.52699512325972,1822100,2020-03-31
2020-04-01,66.23995208740234,67.49901597585283,65.49989779112754,66.76856753668102,2173600,2020-04-01
2020-04-02,69.47893524169922,69.63270967599357,65.49031048560849,65.61525267176755,1840300,2020-04-02
2020-04-03,67.68162536621094,69.51735606300589,66.95118422975075,68.9214629259525,2052600,2020-04-03
2020-04-06,71.46841430664062,72.07391328928928,69.4404638417387,70.13246686917459,2312000,2020-04-06
2020-04-07,71.15126037597656,74.5439912474361,71.14164718387897,73.63093598152588,2458000,2020-04-07
2020-04-08,73.70783233642578,74.1691629333922,69.92104096713142,71.28582103784038,2703000,2020-04-08
2020-04-09,75.2840576171875,75.65889147183603,73.26571978460673,73.4579396419125,2399900,2020-04-09
2020-04-13,73.24650573730469,74.95728768673955,72.1027775953419,74.4286793237481,1533000,2020-04-13
2020-04-14,75.76460266113281,76.12021007441626,74.23642790516665,74.29409971944978,2650300,2020-04-14
2020-04-15,74.0538101196289,75.34169889882197,74.00575150374816,74.42864385880989,2721100,2020-04-15
2020-04-16,75.6877212524414,75.85110885910247,73.49638268655787,75.02455030071239,1969300,2020-04-16
2020-04-17,76.45661163330078,77.2254983331071,75.26482514961806,76.9756066726295,1313400,2020-04-17
2020-04-20,74.36138916015625,75.9760608940005,73.98655530522076,75.9760608940005,1679400,2020-04-20
2020-04-21,70.88214111328125,72.8524272908725,70.84369568224302,72.81398185983427,2848100,2020-04-21
2020-04-22,72.24694061279297,72.6410008888205,70.91099268407217,71.84327447592442,2347400,2020-04-22
2020-04-23,72.17005157470703,74.47672679576647,72.13161346492394,73.62133586508435,2097700,2020-04-23
2020-04-24,72.80436706542969,72.95814878619568,71.14163704004858,72.67942491684435,1654300,2020-04-24
2020-04-27,73.2849349975586,73.64054978093148,72.89087477819535,73.3810449211759,1295800,2020-04-27
2020-04-28,72.51604461669922,74.00577417274405,72.41032149554933,74.00577417274405,1855900,2020-04-28
2020-04-29,75.65888214111328,76.29321345816669,73.17920669100307,73.33298842405641,2409400,2020-04-29
2020-04-30,73.67898559570312,75.38976694393055,73.03503379285031,74.92842910500636,1795200,2020-04-30
2020-05-01,71.32424926757812,73.1407536368803,70.70913706488933,72.61214548319994,1618600,2020-05-01
2020-05-04,71.66064453125,71.71831634706625,70.5649753560567,71.39153383316274,1555400,2020-05-04
2020-05-05,73.4002685546875,74.56321545212222,71.92015232175689,71.99704319085593,1476100,2020-05-05
2020-05-06,74.84193420410156,75.76460257166181,73.6693741955199,73.70781962742446,2303600,2020-05-06
2020-05-07,75.44742584228516,76.24515197728464,74.52475756541367,75.70692331623954,1190600,2020-05-07
2020-05-08,76.61038208007812,77.20627529111694,76.11060611767398,76.57193664716758,2255000,2020-05-08
2020-05-11,78.10970306396484,78.80170606479936,76.40853513084267,76.50464502924407,1691600,2020-05-11
2020-05-12,76.74494934082031,79.09968297624356,76.67767165596352,78.40767974187783,2278900,2020-05-12
2020-05-13,77.04290771484375,78.74407639994209,75.9568441179555,77.25434665170418,2664900,2020-05-13
2020-05-14,78.46536254882812,78.48458893911362,75.65891085013716,76.20674564976328,2285900,2020-05-14
2020-05-15,78.41727447509766,79.60906091304994,78.06166704819226,78.340390940969,4529400,2020-05-15
2020-05-18,80.40679168701172,81.10840072152371,79.09006301580624,80.00311827969458,2076000,2020-05-18
2020-05-19,78.78250885009766,80.29145740457076,78.70561797698275,79.99351443714707,2099200,2020-05-19
2020-05-20,78.5326156616211,79.75323441740743,78.30195037944996,79.75323441740743,2748100,2020-05-20
2020-05-21,77.60994720458984,78.99395356312878,77.33122329445536,78.54222885817693,2576500,2020-05-21
2020-05-22,81.67545318603516,84.26084429759263,80.92577826956924,81.69467223546009,5063100,2020-05-22
2020-05-26,82.78073120117188,83.41506984609383,82.30978747954944,82.87684844995393,3173400,2020-05-26
2020-05-27,82.82880401611328,83.11714114642531,81.08919003932613,82.94414033478165,1917600,2020-05-27
2020-05-28,83.3189697265625,84.43385808289894,82.71346325199387,83.49197052890818,1908700,2020-05-28
2020-05-29,84.71257781982422,85.04896621534405,83.10751938068883,83.7802961717285,2394500,2020-05-29
2020-06-01,86.41375732421875,86.48103500628895,84.5203617010352,84.61647162789014,2477600,2020-06-01
2020-06-02,86.77896881103516,87.10574399436116,85.64485419544596,86.50024491970123,1682800,2020-06-02
2020-06-03,86.97117614746094,87.59590151532358,86.75012410408398,87.12495785825844,1382500,2020-06-03
2020-06-04,87.5959243774414,88.17259127800824,86.32725426310739,86.32725426310739,2227500,2020-06-04
2020-06-05,86.86546325683594,89.4220295037471,86.58673937281594,88.54741241947231,2844700,2020-06-05
2020-06-08,86.77896881103516,87.06729856113752,85.59679557073726,85.83707402884754,1804700,2020-06-08
2020-06-09,86.27919006347656,86.99041961655966,85.84669174914839,86.58674621277409,1817300,2020-06-09
2020-06-10,86.317626953125,87.05768867620024,85.98123859387093,86.80779703816167,1410300,2020-06-10
2020-06-11,81.72349548339844,85.18350328374795,81.71388229338562,85.18350328374795,2491300,2020-06-11
2020-06-12,82.76148986816406,83.9052173597383,80.72392646567772,83.45349280986564,1520000,2020-06-12
2020-06-15,83.57845306396484,83.88600917891338,80.45483329260279,81.11800414437653,1551400,2020-06-15
2020-06-16,84.039794921875,85.76979540142773,83.14595877432198,85.42379383897388,1049200,2020-06-16
2020-06-17,84.5011215209961,85.29884771582414,84.05901006346537,84.43384384990915,900800,2020-06-17
2020-06-18,84.77987670898438,85.0586006872077,83.86682121661603,84.0302088592135,1491500,2020-06-18
2020-06-19,85.2796401977539,86.2984185927432,84.34735853469364,85.93319794784749,1784700,2020-06-19
2020-06-22,85.08741760253906,85.60642002023675,84.35696894066258,85.19314072462846,1245500,2020-06-22
2020-06-23,85.8082504272461,86.21191651766502,85.21236448407076,85.7217536933209,1160300,2020-06-23
2020-06-24,83.19401550292969,85.61602659839731,82.96335022379083,85.61602659839731,1806600,2020-06-24
2020-06-25,83.86681365966797,83.95331040405428,81.50247398777194,83.06908724208695,1350100,2020-06-25
2020-06-26,82.55967712402344,84.15512222360017,82.19444918603439,83.83796024155231,2225800,2020-06-26
2020-06-29,84.07178497314453,84.13920391265334,82.93528902991518,83.3686954484556,1302500,2020-06-29
2020-06-30,85.11198425292969,85.60317632134434,84.02364030359796,84.11032601150998,1920200,2020-06-30
2020-07-01,84.861572265625,85.6128141487016,84.08143759444775,85.6128141487016,1137000,2020-07-01
2020-07-02,85.41055297851562,86.19068761036792,85.28534845368581,85.55502425985132,1507700,2020-07-02
2020-07-06,86.017333984375,87.29830156727752,85.7380247660501,85.7380247660501,1412200,2020-07-06
2020-07-07,85.92101287841797,86.72041427677055,85.40092066797585,85.56465135974985,1441700,2020-07-07
2020-07-08,86.23883819580078,86.99971334022892,85.84395055770824,86.21957144129615,1069600,2020-07-08
2020-07-09,86.60482025146484,87.06712680499957,85.29496025591541,86.34477786692952,1133800,2020-07-09
2020-07-10,86.12327575683594,86.55668963656363,85.30461489261504,86.53742287846984,938100,2020-07-10
2020-07-13,85.96916198730469,87.87615917934133,85.3816508957899,86.65298480651894,1646200,2020-07-13
2020-07-14,87.34645080566406,87.44276254417242,84.82304210730298,85.5550245465729,1361200,2020-07-14
2020-07-15,89.45570373535156,89.62906780133171,87.7220704236646,88.3577337668488,1897100,2020-07-15
2020-07-16,89.43645477294922,89.77354956613881,88.66594609013124,89.55203327980654,1226400,2020-07-16
2020-07-17,90.8907699584961,91.02560785134894,89.27270789614794,89.9661641154563,3457700,2020-07-17
2020-07-20,91.6998062133789,92.67257169030387,91.26639970831414,91.41087099270732,1236800,2020-07-20
2020-07-21,92.47993469238281,92.89408176102086,91.651647903221,92.0465282162307,2169100,2020-07-21
2020-07-22,92.79777526855469,93.30823409982295,92.27768305892813,92.80740864691296,1313200,2020-07-22
2020-07-23,93.09635925292969,94.47363120440775,92.76889049349897,93.02893294671324,1386300,2020-07-23
2020-07-24,91.31453704833984,92.67255661333783,90.40919801978809,92.4414070047835,1142800,2020-07-24
2020-07-27,93.6838607788086,93.9439105736465,91.40124229142658,91.45902786889495,1177100,2020-07-27
2020-07-28,91.7864990234375,93.66460382148594,91.69017992764807,93.40456136795436,1373700,2020-07-28
2020-07-29,93.52013397216797,94.05949299409144,91.99838335179194,92.27769256804694,1125300,2020-07-29
2020-07-30,92.39327239990234,92.80741954054405,91.46866636807526,92.57626986961617,1663300,2020-07-30
2020-07-31,92.77851867675781,92.85557100973399,91.23750875780884,92.4028977386426,1551800,2020-07-31
2020-08-03,95.43672943115234,95.69677913998714,93.36600187680136,93.36600187680136,1994300,2020-08-03
2020-08-04,93.93426513671875,95.34043701016016,93.31786122913114,95.07076121910484,779200,2020-08-04
2020-08-05,94.281005859375,95.18635243449636,94.09800839892745,94.4736293507086,955900,2020-08-05
2020-08-06,93.85723114013672,94.62773984914702,92.27769489996967,94.11728095237684,1075300,2020-08-06
2020-08-07,94.17504119873047,94.2328267645203,93.29859494242568,93.49121839380085,897900,2020-08-07
2020-08-10,93.55864715576172,94.34841514626952,93.3756497140698,94.23283665444602,900800,2020-08-10
2020-08-11,92.74962615966797,94.03058629559035,92.65330706910912,93.63570594713583,1137000,2020-08-11
2020-08-12,94.03059387207031,94.65663127057087,92.96151654413806,93.09636181216256,1318100,2020-08-12
2020-08-13,95.1285629272461,95.46566507136714,93.59718627619974,93.95354783090019,1190800,2020-08-13
2020-08-14,93.7801742553711,95.18634622509855,93.32750099734017,94.82035132807879,957400,2020-08-14
2020-08-17,93.91502380371094,95.04188672525291,93.51050269116215,94.06912113620736,1989300,2020-08-17
2020-08-18,94.2520980834961,95.07075881366175,93.52974908368273,94.10762681391061,2008700,2020-08-18
2020-08-19,94.34843444824219,95.7353472414035,91.04489053261527,91.71908751734243,2830800,2020-08-19
2020-08-20,94.17504119873047,94.55066207259162,93.53937793070148,93.79942032486933,1428300,2020-08-20
2020-08-21,94.67588806152344,94.69514747029034,93.68385582933139,94.26174096594494,1269300,2020-08-21
2020-08-24,94.00170135498047,95.55234478655525,93.55866142426133,95.13819764616977,1154500,2020-08-24
2020-08-25,94.71440887451172,95.02261820619353,93.96316699882458,94.2617429518626,1061300,2020-08-25
2020-08-26,95.66791534423828,96.05316966226836,94.43510740503397,94.56031193544491,1072300,2020-08-26
2020-08-27,95.36933898925781,95.98575030438471,93.96316698025453,95.53307703371014,1236900,2020-08-27
2020-08-28,96.21688079833984,96.24577358039807,94.90702079220192,95.35006059602601,866000,2020-08-28
2020-08-31,96.71770477294922,97.31484920329918,96.07240815590039,96.21687941222366,1076900,2020-08-31
2020-09-01,97.39192199707031,97.55565269287597,96.55399441270603,97.1992911654329,1159700,2020-09-01
2020-09-02,99.60712432861328,99.83828133325845,96.7562540710253,97.2763463093043,1462500,2020-09-02
2020-09-03,95.96646881103516,99.40484964671735,95.3885910992114,99.2892711651071,1992800,2020-09-03
2020-09-04,93.26971435546875,96.41916061700542,92.13322546685238,96.38063444903474,1753900,2020-09-04
2020-09-08,91.63239288330078,92.9133604164157,91.2664053087459,92.56663225184151,1225600,2020-09-08
2020-09-09,94.31953430175781,94.83962655863867,92.32585099110554,92.55700065590302,954400,2020-09-09
2020-09-10,94.93592834472656,96.40951924386982,94.6180929964093,95.23449693659845,1933200,2020-09-10
2020-09-11,94.96481323242188,95.94721198221444,94.40619491180367,95.07075833971547,1368600,2020-09-11
2020-09-14,95.75458526611328,96.53472721207687,95.32117878911129,96.05316119402387,1207700,2020-09-14
2020-09-15,96.66956329345703,97.2763338194852,96.04352601212464,96.04352601212464,1053800,2020-09-15
2020-09-16,96.23615264892578,97.78679583689585,94.46399320445393,97.49786063083512,1365000,2020-09-16
2020-09-17,95.9279556274414,96.75624982074717,94.94556411925643,95.59086086228552,1246400,2020-09-17
2020-09-18,95.71607208251953,96.88146112246724,94.82999225269214,95.48492241998092,2162400,2020-09-18
2020-09-21,94.51217651367188,94.92632372534206,92.94227340102837,94.5603360712611,927900,2020-09-21
2020-09-22,94.98408508300781,95.33081320764025,93.89574116753377,94.23283591422798,845800,2020-09-22
2020-09-23,93.33712005615234,95.26338394076812,93.0096513747486,94.96480804193544,1148700,2020-09-23
2020-09-24,92.78813934326172,93.39491724522797,91.92132636579191,93.00966295073334,1157600,2020-09-24
2020-09-25,94.08838653564453,94.52179308440029,92.23916713560172,92.42216460415506,1028600,2020-09-25
2020-09-28,95.84126281738281,96.0531530229994,94.50250998892926,95.00333537193002,1336600,2020-09-28
