Date,Close,High,Low,Open,Volume,Date_final
2020-01-02,45.43272018432617,45.7962468960663,45.24269149114445,45.70536443020588,11867700,2020-01-02
2020-01-03,45.184852600097656,45.432714988352245,44.68913412699086,44.8791596467385,11354500,2020-01-03
2020-01-06,45.1683235168457,45.36661277641499,45.04439548735316,45.151802300940716,14698300,2020-01-06
2020-01-07,44.82133102416992,45.11049964106459,44.73871231982903,44.98657158455325,9973900,2020-01-07
2020-01-08,44.9039421081543,45.14354072246432,44.73870472751387,44.83784778623833,10676000,2020-01-08
2020-01-09,45.72188186645508,45.771454972596615,45.308782103712154,45.44097390172185,15398000,2020-01-09
2020-01-10,45.87886428833008,46.20934539987956,45.812769957041056,45.83755493731176,13040100,2020-01-10
2020-01-13,46.37458801269531,46.45720671839668,45.78798385608987,45.87886632338233,14302900,2020-01-13
2020-01-14,46.26717758178711,46.506776222101124,46.12672516265905,46.465466872457654,16345300,2020-01-14
2020-01-15,46.84551239013672,47.07684724213461,46.26717210844101,46.26717210844101,17735400,2020-01-15
2020-01-16,46.94465637207031,47.052063191912794,46.77115522965626,46.96944134907202,10234100,2020-01-16
2020-01-17,47.043800354003906,47.2173046515203,46.928132923460375,46.985966638732144,14264300,2020-01-17
2020-01-21,47.233821868896484,47.29991933886764,46.7381034509162,46.96943829241356,11968900,2020-01-21
2020-01-22,47.59735870361328,47.62214368267484,47.24209262912486,47.29992634806937,12869600,2020-01-22
2020-01-23,47.77912139892578,47.7956426163975,47.29166353927993,47.40733097178892,12858900,2020-01-23
2020-01-24,47.65518569946289,47.812162464208974,47.473420807451,47.79563809659872,8594300,2020-01-24
2020-01-27,47.48994445800781,47.79563737492961,47.200775908446765,47.26687022618894,14359900,2020-01-27
2020-01-28,47.10163497924805,47.71302403326261,47.068589392526555,47.46516479849499,15240200,2020-01-28
2020-01-29,47.10163497924805,47.308184866837934,46.812466397302686,47.09337437049297,13163600,2020-01-29
2020-01-30,48.630096435546875,48.72923947953612,47.72127521859379,47.861730753304045,20225600,2020-01-30
2020-01-31,48.250057220458984,48.811873192674696,48.04350732337089,48.72099073368373,17685200,2020-01-31
2020-02-03,48.398765563964844,48.72098284699125,48.34919246207586,48.53921795843244,12333600,2020-02-03
2020-02-04,48.61357116699219,49.11755328810593,48.43180629663628,48.53921309745572,15417900,2020-02-04
2020-02-05,48.6218376159668,48.811866267825984,48.36571779700164,48.66315011088454,11414900,2020-02-05
2020-02-06,48.73750686645508,49.02667541282507,48.61357568846749,48.72924310701549,9347000,2020-02-06
2020-02-07,48.902748107910156,49.01015492722591,48.62184014703121,48.6466282756124,8757800,2020-02-07
2020-02-10,49.36542510986328,49.43978319843991,48.985374057894404,49.01015903685285,7984900,2020-02-10
2020-02-11,49.23322296142578,49.40672408109457,49.010148742551344,49.340629767187686,7431200,2020-02-11
2020-02-12,49.084510803222656,49.381943119219166,49.01015272422353,49.142344514477436,9179100,2020-02-12
2020-02-13,49.24974822998047,49.43977371953201,48.91926719929041,49.059722740428924,8173200,2020-02-13
2020-02-14,49.53066635131836,49.62980942024345,49.25801897214771,49.26628273305058,9965500,2020-02-14
2020-02-18,49.18366622924805,49.5141473638598,49.11757189334671,49.41500428415694,10075700,2020-02-18
2020-02-19,49.38193893432617,49.57196441973107,49.134079742567636,49.16712532355499,6265700,2020-02-19
2020-02-20,49.340641021728516,49.45630846122465,48.83665876246564,49.307592281386384,7597200,2020-02-20
2020-02-21,49.67937469482422,49.67937469482422,49.101034439194784,49.16712875748627,10842400,2020-02-21
2020-02-24,48.45660400390625,49.406731578439036,48.39050652826861,48.83665503371936,14415500,2020-02-24
